Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:12:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:94.2, hygiene:89.0, leisure:78.6, work_duty:99.1, "
00:12:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:78.6, work_duty:99.1, energy:29.2, hunger:94.1, hygiene:88.9, "
00:13:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.1, energy:29.2, hunger:94.1, hygiene:88.9, leisure:78.5, "
00:13:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:94.1, hygiene:88.9, leisure:78.5, work_duty:99.1, "
00:13:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:78.5, work_duty:99.1, energy:29.2, hunger:94.0, hygiene:88.9, "
00:13:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:99.0, energy:29.2, hunger:94.0, hygiene:88.9, leisure:78.4, "
00:14:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:78.4, work_duty:99.0, energy:29.2, hunger:93.9, hygiene:88.8, "
00:14:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.9, hygiene:88.8, leisure:78.4, work_duty:99.0, "
00:14:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.9, hygiene:88.8, leisure:78.4, work_duty:99.0, "
00:14:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:88.8, leisure:78.3, work_duty:99.0, energy:29.2, hunger:93.8, "
00:15:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.8, hygiene:88.8, leisure:78.3, work_duty:99.0, "
00:15:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:88.7, leisure:78.3, work_duty:98.9, energy:29.2, hunger:93.8, "
00:15:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.9, energy:29.2, hunger:93.7, hygiene:88.7, leisure:78.3, "
00:15:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.7, hygiene:88.7, leisure:78.2, work_duty:98.9, "
00:16:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.7, hygiene:88.7, leisure:78.2, work_duty:98.9, "
00:16:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.6, hygiene:88.6, leisure:78.2, work_duty:98.9, "
00:16:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.6, hygiene:88.6, leisure:78.1, work_duty:98.9, "
00:16:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:78.1, work_duty:98.8, energy:29.2, hunger:93.5, hygiene:88.6, "
00:17:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.5, hygiene:88.6, leisure:78.1, work_duty:98.8, "
00:17:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.5, hygiene:88.6, leisure:78.1, work_duty:98.8, "
